feature,may_failure,june_failure,july_holdout,direction_consistency,all_events_same_direction
DV_pressure_max,0.22435897435897534,0.4465811965811978,0.12393162393162553,1.0,True
DV_pressure_mean,0.3328279535045722,-0.013122952666746466,0.20756986678722472,0.3333333333333333,False
DV_pressure_min,0.0,-0.3333333333337333,0.3333333333331331,0.0,False
DV_pressure_roc_per_hour,0.0,0.0,1.0025069637883142,0.3333333333333333,False
DV_pressure_std,0.17154842874922518,0.48880925377886436,0.09236836108082556,1.0,True
H1_max,-0.27027027027026507,-0.2972972972973012,0.13513513513513253,0.3333333333333333,False
H1_mean,-0.4616661146315245,-0.12978444872088,-4.906236183462131,1.0,True
H1_min,0.49999999999953726,0.0,0.9999999999991005,0.6666666666666666,False
H1_roc_per_hour,-0.07063905309649468,0.003293218839428917,-0.06571809120853433,0.3333333333333333,False
H1_std,0.2766139729669583,0.16835930934745294,2.2098927703278144,1.0,True
Motor_current_max,-0.6153846153846237,-0.3846153846153762,-0.2692307692307524,1.0,True
Motor_current_mean,0.2128935456335617,-0.14854863868947496,2.944719405931346,0.3333333333333333,False
Motor_current_min,-0.5000000000001797,0.0,708.9999999998861,0.0,False
Motor_current_roc_per_hour,-0.0012345189928113446,0.0,-0.007423620060394001,0.6666666666666666,False
Motor_current_std,0.2888956883240266,0.22278459241077253,-4.811367882466995,0.3333333333333333,False
Oil_temperature_max,0.297013720742535,0.23244552058111284,0.5520581113801446,1.0,True
Oil_temperature_mean,0.4326877312932039,0.10267822998335883,1.1529063106349398,1.0,True
Oil_temperature_min,0.5456187895212271,0.036133694670277966,1.644083107497741,1.0,True
Oil_temperature_roc_per_hour,-0.16200092850511033,0.004624470909508449,0.046069895958753874,0.3333333333333333,False
Oil_temperature_std,-0.24732421179050768,0.30977927273098116,-1.3467419732519612,0.3333333333333333,False
Reservoirs_max,-0.38888888888889983,-0.37499999999999384,0.2500000000000123,0.3333333333333333,False
Reservoirs_mean,-0.4513476758937299,-0.1121184718325333,0.5124387934271998,0.3333333333333333,False
Reservoirs_min,-1.7647058823529658,-0.4411764705882545,-0.5588235294117716,1.0,True
Reservoirs_roc_per_hour,-0.20806802735052798,0.006034876451095014,-0.16080301168707264,0.3333333333333333,False
Reservoirs_std,-0.09922390502871867,0.15480896740682043,0.942599221320365,0.3333333333333333,False
TP2_max,-0.10377358490565326,-0.10377358490565326,0.39622641509433837,0.3333333333333333,False
TP2_mean,0.27499196208184296,0.09271215068049311,4.504986937437854,1.0,True
TP2_min,0.0,0.0,0.0,0.0,False
TP2_roc_per_hour,0.0,0.0,0.49986068542769574,0.3333333333333333,False
TP2_std,0.3206114534425664,0.1687514310868265,2.370514713070858,1.0,True
TP3_max,-0.3783783783783855,-0.3513513513513734,0.21621621621621687,0.3333333333333333,False
TP3_mean,-0.44987531538943704,-0.11686065422087943,0.5022292301666582,0.3333333333333333,False
TP3_min,-1.7647058823528936,-0.4117647058823514,-0.617647058823514,1.0,True
TP3_roc_per_hour,-0.20788883517912507,0.005025239188865658,-0.16267261262252783,0.3333333333333333,False
TP3_std,-0.09338776318773466,0.15806953534766105,0.9414128164042396,0.3333333333333333,False
comp_duty_cycle,-0.19944903581267262,-0.07977961432506808,-3.884407713498623,1.0,True
motor_current_volatility,0.17263823262979935,-0.01422022110858291,0.7327454445335121,0.3333333333333333,False
pressure_diff_mean,-0.5048932474240003,-0.12399377588895226,-5.028074649964049,1.0,True
